Region,Rank,Species,,
neGOM, 23,C. sufflamen,,
neGOM, 24,D. formosum,,
neGOM, 25,A. latus,,
neGOM, 26,H. aurolineatum,,
neGOM, 27,S. synodus,,
neGOM, 28,A. criniger,,
neGOM, 29,P. sigsbeiana,,
neGOM, 30,B. brachychir,,
neGOM, 31,–,,
neGOM, 32,–,,
neGOM, 33,–,,
neGOM, 34,–,,
neGOM, 35,–,,
neGOM, 36,–,,
neGOM, 37,–,,
neGOM, 38,–,,
neGOM, 39,–,,
neGOM, 40,–,,
neGOM, 41,–,,
neGOM, 42,–,,
neGOM, 43,–,,
neGOM, 44,–,,
neGOM, 45,–,,
neGOM, 46,–,,
neGOM, 47,–,,
neGOM, 48,–,,
neGOM, 49,–,,
neGOM, 50,–,,
neGOM, 51,–,,
neGOM, 52,–,,
neGOM, 53,–,,
neGOM, 54,–,,
neGOM, 1,H. garnoti,,
neGOM, 2,B. biunguiculatus,,
neGOM, 3,A. armatus,,
neGOM, 4,C. parrae,,
neGOM, 5,S. partitus,,
neGOM, 6,–,,
neGOM, 7,–,,
neGOM, 8,–,,
neGOM, 9,–,,
neGOM, 10,–,,
neGOM, 11,–,,
neGOM, 12,–,,
neGOM, 13,–,,
neGOM, 14,–,,
neGOM, 15,–,,
neGOM, 16,–,,
neGOM, 17,–,,
neGOM, 18,–,,
neGOM, 19,–,,
neGOM, 20,–,,
neGOM, 21,–,,
neGOM, 22,–,,
neGOM, 23,–,,
neGOM, 24,–,,
neGOM, 25,–,,
neGOM, 26,–,,
neGOM, 27,–,,
neGOM, 28,–,,
neGOM, 29,–,,
neGOM, 30,–,,
neGOM, 31,–,,
neGOM, 32,–,,
neGOM, 33,–,,
neGOM, 34,–,,
neGOM, 35,–,,
neGOM, 36,–,,
neGOM, 37,–,,
neGOM, 38,–,,
neGOM, 39,–,,
neGOM, 40,–,,
neGOM, 41,–,,
neGOM, 42,–,,
neGOM, 43,–,,
neGOM, 44,–,,
neGOM, 45,–,,
neGOM, 46,–,,
neGOM, 47,–,,
neGOM, 48,–,,
neGOM, 49,–,,
neGOM, 50,–,,
neGOM, 51,–,,
neGOM, 52,–,,
neGOM, 53,–,,
